Country,Year,Forest_Loss_Area_km2,CO2_Emission_mt,Rainfall_mm,Population,GDP_Billion_USD,Deforestation_Policy_Strictness,Corruption_Index,Illegal_Lumbering_Incidents,Tree_Cover_Loss_percent
Canada,2010,1670.5998316606613,539.0028122791684,462.71900264237115,971130709.9763008,1070.7932752961447,Medium,56.29723536143245,365,5.808110223214906
Brazil,2015,1289.6300132758577,752.4116419752721,452.86165078700003,638338862.4843899,10698.790136075166,Medium,39.08669321708717,150,15.842238051951465
Australia,2015,3484.6087004923756,914.0340947350664,373.24828725596456,207091554.5767423,19246.22725458179,high,71.98632005165872,293,16.67751172264537
Indonesia,2000,1008.8107515530746,589.2980370022173,,1351852728.8422146,2278.430315083632,Medium,79.6002162415177,61,10.413589965758653
Canada,2008,1032.154183858745,728.8596356311295,,1039920567.838385,17900.15062626454,low,65.14566575693435,288,8.340629287117995
Japan,2005,3182.9917629738125,759.5103900220313,382.33866484098866,1027943946.1037673,19830.35916938646,low,25.428901717223045,98,9.552364215975434
India,2015,9797.154233352934,384.07204378302856,363.4035873165735,1235649975.1083941,1324.1888221607776,high,37.32113573183828,91,5.3123291929419185
Canada,2002,1835.7696719044513,248.67398400633553,409.61027974019214,799195901.1960708,17669.83475583548,high,26.546577905944986,215,17.89842740644804
Australia,2019,269.89490813432735,212.99487522145967,357.2435090289348,1224431098.3196611,10369.972506827971,Medium,59.03069886750295,131,9.5617734778654
Indonesia,2003,7657.307787738719,258.92801511668046,320.0665109415654,752155222.7313986,18139.623016947142,high,65.91145187334709,478,17.766729368665896
Brazil,2018,8088.438472802717,281.9844790556497,375.17969116363247,110091345.87440804,11469.246944199525,high,75.54048985284271,340,3.0081761182192075
Australia,2002,3528.412778785068,215.1553725179759,392.0437876170734,613819651.1612562,13276.029001120636,low,46.29034078471926,207,19.777230149002495
Australia,2018,4700.2707481021525,879.4384608044003,412.2510649223322,751222692.0300369,10921.200269148245,low,74.08253897530665,265,9.422188661428747
India,2019,6532.7594581633575,759.4291408505064,384.5027458187749,1083101846.6321206,17303.408318116235,Medium,72.67346954247965,207,1.908785587488004
Russia,2006,575.7833495506338,56.42750311330772,428.9275096363208,168802307.8917248,14704.807387178664,high,39.031743005923914,183,1.7224151165116433
Indonesia,2019,9496.54274275472,275.98575720505426,421.7035779596996,218627622.604069,10473.080212390256,high,72.13403753243426,116,15.177937892154933
China,2008,8878.13583425067,31.962894609998614,393.6285040623652,402888865.9255785,17376.400000625785,low,42.54033511290359,385,13.521675149869935
Australia,2000,2682.846871082968,503.183534779434,486.6761775218366,407082606.1226145,4981.182091881158,high,37.812156473616845,56,16.240480604424164
Russia,2007,251.51494887480902,481.448589821124,454.19492181504074,1100955021.904003,3231.079128080267,low,58.94447952766358,485,3.0019831451033134
China,2006,9341.019449986881,833.0577751618762,391.4301378773182,383588684.23678064,3291.9620960684347,Medium,39.70287367310486,63,1.6758464736754186
Indonesia,2017,5060.294850761066,314.6994673733389,413.6943713727115,953316114.4025968,6746.776687030234,low,57.81252489974865,122,10.663006499503991
USA,2007,5439.836739160619,818.2218778609317,433.43684281750313,746468036.7060244,4849.931622890249,high,56.58990832992167,448,8.36430939817262
Japan,2000,6871.241317041597,968.2940277854249,353.8901726381397,864208623.487307,18608.7979751438,Medium,53.80633564090753,454,9.77699179674816
Russia,2010,6196.926527460147,,361.2564785193323,1258779375.1356606,2206.0984671888214,low,42.82518225396786,212,19.840179768535204
Mexico,2017,9444.526885151496,793.8996610749366,466.65384800132335,612528437.3080462,14009.915686987795,low,52.90998329908861,115,19.444249195742735
USA,2009,9448.090811539158,594.0563381662597,324.27417692531236,1158657951.825763,3865.508641721617,Medium,55.7891284991253,396,18.903992403790664
Japan,2002,8685.269442194538,485.2455073482904,400.9152747192069,638833728.7305242,17644.578942129967,Medium,52.74121330972841,179,15.893010858585804
India,2006,6400.395614715511,426.3304208784243,351.7078177721909,537268351.0762618,19230.174234879658,low,46.66516716507209,468,7.741985844880918
Canada,2015,8029.3980173557575,786.8215813048664,385.3698301485223,1438354494.1966987,9362.853174522674,high,20.880023422775828,255,8.83048767499266
Brazil,2015,6803.96658959152,642.9677434045,300.4614768152313,284712671.81165516,17593.52245653982,low,55.223702462069056,325,11.442704830659565
Mexico,2019,5776.333712552139,806.9942208441682,349.5193759922355,144602071.26063573,202.38889801882385,Medium,30.10666310856318,305,16.78015467169196
India,2016,1372.1534970157109,904.11954808986,358.60390775130816,1158769029.047863,16416.943656421194,low,58.554558136831375,315,2.3055438178470875
Indonesia,2001,8130.9213496864295,621.0910749763191,344.28561218984976,111692060.97759646,4649.640714345978,Medium,65.56065967537197,74,9.061640831812873
India,2000,8224.330809865158,980.658097841454,471.3744028903061,1257247696.1475139,18183.15605446042,Medium,50.02671854784449,499,2.569735605726105
Canada,2015,6296.8027340055705,612.0069710464663,459.09108136610735,661418160.5722928,122.29021845417878,high,52.5418198987843,330,10.77849414489672
Indonesia,2011,8222.225753335555,640.2778784060597,357.18718355527716,1374115379.1649518,11168.016527291164,Medium,77.08871357995946,302,18.07911565611847
Mexico,2004,6549.699241392101,559.2674524568034,401.20370257382746,1085083963.0716393,15157.0524953202,Medium,70.83004168235445,359,15.86721356671482
Canada,2004,2146.1751627797794,100.09207014081697,349.07294162797666,919502953.8418568,5247.897780888368,high,74.85419095708819,338,5.329005933319089
China,2008,2812.2151604792243,,479.416793851171,1424467127.6160707,3943.344005287132,Medium,68.82597729917518,213,19.543826142377057
Brazil,2008,2224.432285112904,551.9718438301204,392.7037297030811,601007565.8475609,1773.5546669128946,high,26.535100510803886,144,13.67965756288214
Mexico,2002,3834.864923956961,,424.23568688861684,1431589535.4440532,6596.02817241553,high,28.939511358211682,319,1.1981262885506583
China,2018,485.7350098713129,911.3665656192403,408.5999561436643,211151903.35759833,11240.901814945706,Medium,51.59742783613758,370,5.852856209019171
Japan,2015,6220.713454945139,304.97985702653096,379.2084255854975,730794863.479295,2405.2927499271273,Medium,34.7641795278799,159,5.953552698478414
Mexico,2015,3431.8867273983924,528.3662532548611,399.54233050749394,412167721.3643704,7596.237703537296,low,48.60172850246955,385,2.315831819431339
Japan,2002,6591.654090269348,700.6654527785287,392.0278725774327,814365740.5732082,280.5408525892268,high,43.66191942910101,359,19.23670384344265
Indonesia,2019,3915.4265475590937,798.5070579171385,402.7285036008784,251400678.05846107,16391.72046794685,low,52.9648543058272,287,10.08685059694255
China,2000,6847.975322830618,464.7533398667107,418.20896458290133,1263879193.8619647,2656.129490054508,Medium,64.81254296814936,430,18.020477350065757
Brazil,2019,3472.1832376959765,843.6705008685226,345.62360388035097,1271147695.4786904,5738.524670485073,low,62.929454425956465,485,7.122094565447939
Canada,2010,2680.875829535441,771.2285639022435,,1433302105.9579837,466.7116028905276,high,51.27404794912006,436,3.3794378382237156
Australia,2016,5010.7707975047215,75.5736180733472,380.3114597589546,240461489.91602197,8701.591599460995,low,69.34360512902349,474,10.012386088218063
India,2007,6959.6145510502,55.40265374058662,386.89833053540525,938765500.8484362,16818.417904550253,high,45.851725492282,439,3.165176059572026
USA,2003,3548.532384086654,624.5976275778704,356.76418505340956,716613589.9635507,7903.809107759413,Medium,73.80285739040734,74,10.234294556573259
Brazil,2005,9372.816703371502,353.9392741431601,380.1941270445347,523131760.7459075,3671.9967361342847,Medium,24.276816203309835,190,18.485646443168747
China,2007,487.94463408889794,217.03948316772903,334.64023443818434,533794840.089986,15098.606797605331,high,77.27960180199844,166,10.894594694850042
Australia,2019,4237.66571398423,583.853435127021,308.18504108719446,625062390.4040608,15797.258939227811,Medium,59.28158488588089,441,12.713494811006585
Brazil,2002,9679.04746005045,348.1475783519796,431.4951485642913,1060339069.03654,3557.6941586205794,Medium,42.804470536232316,454,3.9761303025023578
China,2015,5524.921644156065,,454.5298033940026,901446226.8195504,15439.996759965697,Medium,31.82924759437264,74,1.8309768917194202
Russia,2002,4292.362328850374,465.5179673937363,415.2806275159034,694925454.0140854,18951.227976301125,Medium,48.75099376661599,128,3.1053512814163335
Russia,2017,5728.350809124588,588.9184448896622,442.4140767048548,123140781.45073691,3410.9139799522195,high,31.673499391118057,117,12.372099938002947
Japan,2013,5801.653295055037,406.29748402117855,377.0099473694691,125870362.67764604,15442.587421389497,low,29.979896464588528,222,2.8052222808537888
Brazil,2017,7343.312777466438,700.6908979599625,317.629518231407,13485692.032409607,14200.582891592325,low,57.04110544477845,493,8.143864908884916
Russia,2001,1364.1283212824094,188.26659962580555,472.1767611713876,1451872088.4285588,9524.120379858261,Medium,51.38508347490708,61,11.451746868704964
China,2002,2575.1628472394364,699.5364515648082,479.8410793968227,17828189.651993524,1252.617165120086,low,60.2057620766565,337,8.384403173967094
Japan,2015,5847.385722204707,417.5446022139528,448.7968936292676,163609681.56047988,1586.418913381295,low,75.77635264531935,177,4.109992227840728
China,2008,8684.454411376248,875.5744288058729,354.7808827875199,478748869.64602226,17063.051718053088,Medium,51.93561280034241,145,6.202034842768024
Japan,2003,5662.480252223359,520.0836943155688,381.40741894823566,1213071075.2069743,19803.952617737876,Medium,54.855923195767865,141,18.638033124122963
Brazil,2000,2462.108911924368,973.3792457774033,479.5574671549601,1443527190.7885354,13553.439918016413,low,25.377580349296526,190,13.843663236140753
Australia,2003,6830.463321012434,605.9160415855506,316.2498955478507,1187120202.5998657,8974.570309505398,high,63.05814715451777,80,10.424908934917845
Canada,2000,7425.096728429008,231.61057524725737,341.98307257518263,1038934746.3440045,12986.71550369796,Medium,43.99431240824937,383,1.241582909750977
Mexico,2013,2458.5379087993965,,,786737994.4462184,11928.477598648053,high,78.60351431975474,69,19.855892609299932
Australia,2020,3839.515973145319,351.6318015441629,369.7265578023508,139190765.6746536,7733.883982071874,low,69.39044093573962,195,13.757643762998221
Indonesia,2015,5389.841987952578,354.1430223378567,345.7506662960524,1437674481.5758562,1405.9602770228576,Medium,51.3488624309671,365,7.021527069553954
China,2019,5015.955787762469,41.48663467031348,425.1129260559156,1140004696.7790654,16448.107653408075,high,27.393359250329965,496,17.706104539958925
Indonesia,2007,3957.2190535701143,553.2281561153345,,962034584.1480501,7499.4872318506195,Medium,71.56494759683534,439,5.910200785544544
Australia,2006,3046.5882276421776,539.0792686951978,484.53578690224253,1140963409.8528862,16393.834302806164,low,67.9868657254413,209,11.33631500447228
Japan,2002,1089.8503829024476,362.4315694292663,479.1506067896381,1088913960.6169765,5124.924118798806,high,31.07510777222198,398,13.085344510866676
Mexico,2016,629.5044377989522,895.2750902669665,331.9120736039154,959475053.8863354,120.48664892810459,low,37.716697353218606,92,5.200204057620841
Mexico,2000,9589.560819143664,137.46091431664746,317.86276034885736,1471059432.2681823,3262.871837207455,low,67.60443548887024,303,19.589548297211323
USA,2015,8486.717126546338,336.79851817705384,475.43784363085325,1356012080.8276772,9423.934393694828,Medium,31.11370679284458,179,15.215646213600953
Mexico,2011,3613.5613855809343,328.3669370332287,452.81879308098377,973530729.4845735,18891.642335660814,high,75.06514935028264,109,11.598451284710329
Canada,2018,9572.328762751918,101.36768036645863,466.89589792654203,1042831065.0708178,2133.653031905008,low,45.471645511781716,200,4.431297365330717
Mexico,2013,6800.022053800602,486.3339401157303,462.73582410117587,86877751.9214779,17098.774511785163,low,25.222337755259517,336,2.0233059329624963
Australia,2005,4876.95740146216,690.9068699251222,332.5018421995016,1008177022.1795584,10587.779514616055,high,68.94491861025685,54,7.0811368178986855
USA,2005,4980.954011940869,516.5404434117886,433.5707174690122,75806502.18804926,16535.823239417943,low,42.41058098230326,467,15.310559382354654
Australia,2012,924.5156708330704,165.40790588903178,437.71114719087177,886512997.8851973,6037.651176700853,low,51.58995164922686,315,6.117294667738476
Australia,2018,1007.8710578589627,383.51310558965184,454.5208758245775,1499036714.3530939,16814.94857698219,high,26.73826066467315,394,11.251568189414597
India,2007,6064.165166421078,12.569074139810095,378.4211212411483,838151806.3413976,15479.173322334409,high,20.155040890698942,179,14.83099635788412
USA,2001,5581.660218223427,869.618095965231,424.13886032289025,715083075.9411868,4678.068292325535,high,58.27911234759786,431,3.0509305782828227
Australia,2020,2206.0061607398666,93.67183760387512,351.15006963134226,476153736.1933254,2713.569015546623,high,50.910510220023895,316,14.020662306201594
India,2000,9467.325974528734,601.3053014328763,,189578642.39183202,17374.281018392627,Medium,55.61231414738883,227,2.7455468664908493
India,2014,7834.830899664905,986.394425908147,342.4420222571015,1099225270.4728396,19268.409403458623,high,67.62463102283098,302,19.337465100412935
USA,2000,1223.2995599727353,541.2247395274592,379.25569365397223,296972551.40058935,722.9160435755732,Medium,58.79635480537161,464,10.279488471233853
Indonesia,2004,9316.198146304198,924.8013415163588,477.14653998886246,181770211.6584537,14652.274332776344,Medium,30.486406569642632,105,3.8628460464876704
Japan,2015,9745.05726449066,243.7553677862303,417.09908315927447,638426362.9984636,18199.537767861584,Medium,41.64635114663599,132,7.505289084637384
Canada,2018,9959.719296100258,762.3558548482098,327.2963718774086,1195059338.559055,17161.465832640723,low,74.35346628726562,442,8.854912536609968
Japan,2003,653.1244313057655,535.9530964337987,315.40795364030305,1120146176.6991284,19293.95739817715,Medium,66.19668201510073,148,15.40551521045421
Mexico,2002,7396.652012230988,723.3109007775502,406.85997553623736,91775095.82324764,15225.872160918134,Medium,53.398223476203036,198,15.125051935455577
Canada,2016,5504.56612463339,71.71794888612904,403.8326043821853,688164090.7038726,8901.745371380113,low,35.33869986855634,378,12.62686960140929
Mexico,2016,7087.731690399076,156.26170098716443,316.30905501213977,788427518.3460417,6307.844610853096,low,38.1236301100877,205,3.012683538611366
Australia,2011,9689.654245343936,,,970374509.4324751,6482.780534718736,low,63.917484055138075,239,3.879818060165798
China,2013,6911.497100732887,690.2938503492978,493.43066595131233,978749352.1604099,14516.011185020927,high,71.07045565116624,420,2.781381492265576
USA,2020,8385.94235495,845.9962659072925,317.45010742417423,553398901.6913857,14942.15653941619,low,60.285480171836866,312,11.966282882463451
Canada,2005,8682.000182577329,752.1200696885015,450.3547114485696,845409019.0652359,4087.146956619382,low,68.5717985461065,129,17.665630388716675
Canada,2002,8400.959561263453,40.167431206258215,384.47360918169056,726782206.9276888,17375.64398846157,Medium,65.99936811202436,449,9.242209732840664
Australia,2008,4318.305602964717,868.542831263976,466.89733651440525,1328647551.219689,14326.988400024728,low,28.982238077417463,301,4.056115305197178
Indonesia,2004,2303.506533953202,360.6052040851942,493.224167950681,800095047.6260012,11298.730698233314,high,45.43668877479812,146,11.602804177830373
India,2016,4026.8508593470933,403.1921941790417,437.70536577344853,667137921.0047609,9483.495956040002,low,29.17902804971376,309,16.423292120448487
Australia,2013,8929.779396890088,113.8204748671561,343.90085849078247,612683320.0259576,10910.332835220166,high,34.114135088119085,309,15.09252916874567
Russia,2020,1551.3877347510524,740.0311540328809,444.48256547411637,862917361.5558639,3268.990191757363,low,72.15557747906315,152,17.747564813825406
India,2002,5181.92907005469,190.4610396911985,455.9805571837806,1207925699.3073375,4153.654860597857,low,48.373517937990925,89,6.280139847728488
USA,2000,2408.9579170028255,568.3254410986481,457.46384313175474,812218220.6673734,1914.1733590832143,low,52.12148611055965,322,4.685123478087722
India,2019,5854.923630545145,842.3028860191517,396.96526351863747,995866210.8700068,3157.7949594061424,low,30.706757913666326,150,17.716513232896837
Indonesia,2020,8645.071367691138,98.31228542493562,304.8917368634487,1109405092.6907222,9128.503328645125,high,38.73630716292776,408,13.493645942782438
India,2000,8815.563689520326,539.9822083753683,408.2022023965974,785050483.7193105,10654.052435192296,high,33.814770105672196,429,6.907649670143529
USA,2002,2443.1834174525798,240.8842474343032,388.53892622199044,645957414.4157479,455.4516603185555,Medium,32.371169871105586,357,15.104612960877674
Indonesia,2017,9086.167692850608,349.49759563547764,327.8735964218532,1316231413.0150497,15956.276774494148,high,58.277647598958204,270,16.48724930512699
Japan,2009,5959.698514330715,479.2302420162506,392.9860562132683,632084065.2015593,5953.9426695352095,low,35.413030858742886,357,12.684586566481515
Canada,2002,3567.160642333104,361.5532602465117,463.10742571622876,698294847.3576255,18245.53709570223,Medium,57.92092916122511,469,14.069798087718388
Canada,2007,7110.993836273678,652.3346118886602,440.0808176467046,1485608556.879248,19353.474145914177,Medium,23.507276846513236,173,8.12993818441066
Mexico,2013,4868.503180844742,484.7862807367077,438.0126147462778,10353910.128068024,3790.6316060654212,Medium,28.50646361162611,471,11.235217679517742
Japan,2017,3842.0771422103194,588.3574898670275,420.5363769084804,286354635.2693165,9295.736086236646,low,36.47241524000752,280,10.959024243797083
Japan,2014,7080.335206536933,739.4542506409638,414.6422189326501,582106195.9803914,124.51351981187517,high,55.8228150137415,227,17.112908031484665
India,2001,2562.3691288598507,562.164843290933,340.04359558514614,1399558965.0436268,12006.712575936297,low,60.55047470524256,112,16.95931562536147
Canada,2009,3369.5000372890754,590.6700803141515,430.1226001901334,114344261.56373183,12185.398320427157,Medium,46.56301800677163,165,16.82092891759382
USA,2001,4401.073260433886,568.8139570974149,406.35363431172414,24133296.10646213,5026.045116507165,low,46.74745487463374,240,1.20960067098685
Brazil,2016,2611.4535213440736,384.98489969177643,,88498915.6060706,11212.412184405639,low,63.471011083917084,111,15.241364204908876
Brazil,2007,4111.500659136029,344.07236553319893,424.4548105119661,141929681.81429103,4588.248834630335,high,20.949265505934946,305,15.414851412109092
Indonesia,2000,5757.582949529606,900.6509231735622,332.6870373415334,66019192.0773287,3300.4268346559825,high,40.46540146845324,56,13.889197634247695
Canada,2008,7435.641223015617,,382.50927915318516,724874177.0161921,13065.237389365067,Medium,69.12242342715396,204,15.369028499937599
Canada,2010,7695.22904577486,251.90962391000798,441.1910641558057,875328238.7687182,6585.91673264629,low,56.193164612802335,141,16.997437058437466
Brazil,2015,8245.624483579262,503.2652208704508,357.1881600420344,414813586.89281607,11846.252383823887,low,40.233627965325226,63,9.936062027933927
Canada,2006,7467.6954037386495,337.04499646810484,394.47045397104284,603448202.123697,8721.610304535947,high,74.33148753978043,278,10.538954056280495
India,2009,6842.290328259399,934.3549055222759,393.1088217485506,146632009.3160309,19688.593007317788,low,66.35736364696295,135,3.3695670813164194
Russia,2002,2451.3140657954523,17.459019502733994,403.7824103224828,511191991.1043489,3076.6547890845586,low,35.893726834204,182,8.322141777899875
China,2017,4062.206639433046,233.07946973540294,400.5976102357502,788553595.5354394,9345.512073052621,low,58.717390251543016,232,13.223938418323902
Japan,2012,4829.377419714254,371.70325147731705,346.92874378675185,1101084992.7051213,13641.086864550572,high,55.7450436913374,435,15.827595746798217
Mexico,2006,920.6240847642068,492.93170280065056,479.4037041337369,14986079.444039043,7971.347169211376,Medium,44.071274842338966,111,5.126972856133
Indonesia,2003,5330.864200842371,852.3093426577848,433.12743773790356,706293042.1411023,19496.527052226727,Medium,42.01736475228804,268,3.6186350840254726
Russia,2012,4419.724732904904,97.00874829474243,484.89932723922215,452534285.9177745,14465.563795746008,low,40.61362848654224,454,13.597798085509352
Brazil,2019,8040.881565364667,807.806237873732,349.3507558505098,1280704514.320933,13173.978765533411,Medium,57.029347003738806,295,1.035717786973302
Japan,2000,9781.216620667281,65.09695446340558,445.5396290559401,1076174439.6990204,15165.479425463343,high,46.544596188840174,279,4.3890791018392665
Canada,2007,5604.449882561587,843.8908949451998,320.5139180362231,887771716.3616333,19057.707896970467,high,69.91178679508532,128,1.552356226535121
Mexico,2013,3294.5952439480784,61.119123095767705,394.68430666814123,423125812.08819264,18165.59119439434,Medium,60.176156968037716,198,4.170817239242547
Canada,2015,529.6677546519104,28.060056614077435,339.8500457027758,1366405262.065726,14513.277631715597,Medium,24.195896342566048,187,4.445066318584599
USA,2013,9253.9689692136,699.9918477427573,304.2137128768078,77200009.05828154,15008.316618115534,low,58.410093429689965,363,8.36579830025749
USA,2011,9199.245581258729,997.2829794207104,332.0422281086859,173106722.03188157,3003.8492732993946,Medium,36.26884619001109,425,8.644215369044563
Mexico,2018,2604.602663093487,897.6441603442806,326.6012479976953,593528909.4051305,2145.5688494040473,low,55.56871949920536,472,17.61098694159452
Mexico,2014,6984.570118755811,580.2384336276034,418.40310092703106,195411960.37231597,11460.99958669887,low,60.80791586620708,438,10.69208453747768
Brazil,2001,846.8020161887157,918.2216569546763,,1435059389.3635433,465.515975116746,high,33.84975134924073,114,14.74469054663344
Mexico,2001,1745.5327759016038,15.247006333629363,449.22228719133915,1199004089.9936411,9698.891992876672,high,47.41151869282212,62,2.9786098004854615
India,2018,2246.410155206263,975.3164913156911,460.77738006130943,395884150.88670236,4285.956640385485,high,31.419491769144066,262,5.283336353810183
Canada,2016,3015.490073710356,495.8412914661966,398.8984241787932,886945801.1701356,6985.729696132307,high,23.1403325471905,291,14.35592537859486
Russia,2019,9958.73061279077,725.6671356555579,380.99020405991587,1473672467.4693217,15538.514242279825,Medium,42.70858540915214,262,2.0032752489020336
Australia,2009,6999.558053051766,822.652858421819,432.1457508207618,1327456477.4159393,18830.626334224493,high,41.77665631075952,230,10.245355582631309
Mexico,2005,3903.598130654277,721.2726981281882,386.11129644729994,905189685.1988751,1541.0838157121957,Medium,79.72882944225543,387,12.388010347595744
Indonesia,2014,7397.296987845891,539.6863647244614,322.50790349729937,1356548711.091153,10731.419898931257,high,46.78114107185853,222,12.44076723699714
USA,2010,9161.017982524152,481.85328928514787,388.6556830433268,1483885515.6219049,17662.41636781004,Medium,40.014172968332026,209,1.4357234140927986
India,2004,9591.153833337677,840.1967331155985,355.8373807378987,1117595706.1115,1741.9198353643835,low,54.828500403000476,213,7.120052080354524
Japan,2000,672.8525878013032,213.02678454796452,338.937006528419,106829750.1295121,16507.829533246993,Medium,25.326043646466108,237,13.093322369933926
Australia,2007,4005.7658062204855,968.3141258391919,302.25424360891145,608354552.2739763,7220.2468834726005,Medium,77.6999441572888,444,3.8309949868356252
Russia,2020,1156.8850527652553,713.8429540483808,379.3605195646041,1258360345.5720358,6509.684574164773,high,58.09760273546199,240,14.212897318233011
Australia,2011,3423.0346414899354,207.51185806493658,338.6299702074828,353548101.74947834,19551.581087664235,Medium,65.29026919645086,454,15.172578967459817
Mexico,2011,1779.8310485660988,,307.47013628902505,1247657351.4484305,4097.095888259654,low,30.228676290435054,357,19.65741461847676
Brazil,2004,6503.798780520366,534.5416229493055,311.1180548845453,189304755.43214396,13894.55942237135,low,44.568671180312236,305,4.986997902271779
USA,2006,3943.8570014997345,710.1577946880001,471.7836302444573,79948582.15024137,16446.670487396343,high,45.36134680377137,232,16.677482685656187
USA,2003,2371.007982479002,770.1017064284104,418.7215383452956,582295011.1219618,919.5515560575063,low,69.30838663406522,166,10.885634961454427
Japan,2005,2732.7854571459657,96.4172777937787,435.20198777864005,64730586.7656543,13440.670621252802,Medium,20.074200785564567,331,8.095789326739295
Brazil,2012,3667.4164425321555,511.04291679575357,482.6149970099301,1436332691.8451552,19035.844489671006,low,38.0511865011953,245,3.325158389178381
Canada,2019,2673.5036422572007,932.6941988343648,373.3518450178079,1241046486.733009,2571.977337888381,high,78.87418246065823,83,14.974606523263214
China,2014,4587.084383605427,327.43577023791914,352.8190773607995,1203146833.8235137,17934.80392343226,Medium,48.493192610373114,101,5.481294383730055
India,2002,419.9279159855396,597.9442665823199,330.3743809066233,948369105.2642682,11936.055083801028,high,42.9515768146405,161,8.05701803558787
USA,2007,2869.6587209725626,375.5381766947972,475.4446220674583,332322794.32446474,12370.431179063233,Medium,27.189740121058783,301,2.18830231105
Indonesia,2019,4170.946536634644,459.72529249690865,324.71118482494126,782207946.3478243,12297.589079825559,low,78.44987771768093,131,16.225971400570863
USA,2015,6067.540632030656,,371.4148872771493,899938367.9212081,6046.834138112546,high,21.201581355549468,281,15.565181955461224
Australia,2012,2782.480660899786,553.4327600900875,359.2107729722981,792296936.2817996,18710.51612445925,high,64.23081350043458,276,14.938700770803937
USA,2017,1418.532739715122,209.7131577069335,317.8751992919392,397747718.2477757,18952.27420635767,Medium,66.1159882873105,282,6.689426699345846
USA,2009,854.3837580317152,687.725832401035,375.04774579134977,777719407.2289416,12543.562738257562,high,34.619402963832,270,4.296121411053187
China,2018,9411.265088640295,96.98943013023025,432.826828570033,741867647.8942536,15690.112246238132,Medium,60.29350661678224,485,13.113512024934366
China,2016,4224.726671610944,147.43652570760017,334.9785337154681,1494540305.9520192,12283.933919035044,Medium,25.575748662763395,462,10.42716129815117
Russia,2018,5853.50994969018,12.683790420186373,427.3881575609819,1347179860.5888438,9739.529106723408,Medium,35.42283598592479,471,4.38679687118819
Canada,2004,9199.847863172039,125.52910350026451,493.1543778358942,700437314.8412737,13250.320354155088,Medium,67.27411929753589,91,14.03231414994741
Indonesia,2020,919.2093583495307,,333.86909868695005,938176700.5733268,11104.728906579972,low,71.88117152201241,70,19.83140220460477
USA,2008,8778.948710665349,610.0408622452802,430.9615710237449,1124328690.0974205,11989.769666375409,Medium,56.50918475958748,91,15.197172167098715
USA,2011,5560.719938186294,796.3465554667978,345.2330953597319,61949088.748399116,15698.267813035352,high,50.41030590922895,446,15.059741347026623
India,2020,1731.8591852563093,115.6322576123017,427.4484210668109,1343432947.4294815,9669.986245834798,low,29.558241237138816,162,19.055942305681242
China,2000,4171.425654195154,852.2201854162902,327.7863960050557,1291588956.4627063,911.006711240208,high,23.78654198474901,154,4.855790983923141
Indonesia,2000,7798.262608978733,748.514780293231,456.09789498380826,691573825.6828239,3363.589671690995,low,27.058941708413517,241,11.745449333507366
Japan,2014,4855.663810476911,414.43311000655774,305.090546960226,592842951.4597659,8828.283608141814,Medium,33.64143800576593,66,19.613287585643786
Russia,2001,9854.331901588494,933.6086864289551,344.04824504239383,416709468.53590924,14524.048541493761,low,40.500470113815254,169,4.140588108433317
Canada,2015,3829.7158023856136,991.0201816928167,477.1524148159206,720248474.2122489,11906.245101372557,low,42.85457153065923,442,14.3047872294459
Brazil,2007,7520.825169763113,212.9517919527049,386.8446760066879,76121228.6645228,13040.854298881732,high,40.77930611534021,474,12.130392773466138
Canada,2012,3990.5955448907052,385.4362991141624,,1279768364.6870415,9637.650678668117,high,34.343319931835936,178,12.143102751585433
Australia,2020,8308.725784994493,927.184929353814,405.7869094612371,62779328.943632156,12353.266236650632,Medium,50.58345480510189,179,14.255741922881427
USA,2000,5733.906544740902,724.3805852437644,463.57857223568334,500286534.4011078,6647.447012511778,low,69.5171664939738,109,18.662721534638
Russia,2015,728.7671129410134,57.61369752444681,403.0443265699308,1398068337.595295,9456.633594663635,low,36.78221230828875,97,15.869056857175421
Australia,2006,464.53648959631465,783.6993369339008,397.50846882361566,1105466855.2399447,14911.153405339617,low,76.54322114613399,78,2.06658596490799
Indonesia,2004,1425.1359761262686,829.661478305717,351.66261115426687,429272531.2605149,17449.47230156511,Medium,72.40019970343087,146,17.201832377638514
Brazil,2002,235.3524517872731,752.9969055176604,360.2308293678191,386447150.00171876,8729.74114573214,Medium,29.705852681126576,59,5.28528526858892
China,2011,846.054697489377,801.5417596103205,419.4899912806039,17572388.32885869,968.8669883764877,Medium,67.17655740542567,291,8.161369129991067
Russia,2015,6947.972531972229,826.8813499258692,456.3953785011827,1046614296.3461277,3317.283628521373,Medium,54.475242939066,363,9.772923458635262
